uav_count,Successful,TimeoutError,ConnectionRefusedError,ClientConnectionError
20, 17860, 0, 0, 0
40, 35520, 0, 0, 0
60, 52821, 39, 0, 0
80, 69841, 79, 0, 0
100, 86604, 96, 0, 0
120, 102820, 140, 0, 0
140, 117963, 757, 0, 0
160, 133109, 751, 0, 0
180, 140591, 8269, 0, 0
200, 152686, 9714, 0, 0
220, 158966, 16594, 0, 0
240, 178317, 11043, 0, 0
260, 168598, 31342, 0, 0
280, 161292, 52628, 0, 0
300, 153375, 74025, 0, 0
320, 141550, 100370, 0, 0
340, 125185, 129815, 0, 0
360, 117539, 150301, 0, 0
380, 102410, 178510, 0, 0
400, 101424, 194176, 0, 0
420, 91520, 217180, 0, 0
440, 80604, 238304, 0, 0
460, 86848, 248032, 0, 0
480, 71563, 273557, 0, 0
500, 64305, 292695, 0, 0
520, 53658, 313042, 0, 0
540, 47038, 330140, 0, 0
560, 36386, 349453, 0, 0
580, 27748, 367229, 0, 0
600, 11834, 386564, 0, 0
